,Unnamed: 0,Unnamed: 0.1,tweet_id,timestamp,dog_name,doggo,floofer,pupper,puppo,api_favorite_count,api_lang,api_retweet_count,img_jpg_url,img_img_num,img_p1,img_p1_conf,img_p1_dog,img_p2,img_p2_conf,img_p2_dog,img_p3,img_p3_conf,img_p3_dog,rating,followers_count,statuses_count,friends_count,float_rating,just_date
754,891,1099,735991953473572864,2016-05-27 00:32:10,Maxaroni,None,None,None,None,3499.0,en,1112.0,https://pbs.twimg.com/media/CjbExRKUoAAs089.jpg,2.0,cocker_spaniel,0.961643,True,toy_poodle,0.0115469,True,soft-coated_wheaten_terrier,0.00490333,True,11/10,8877197.0,13020.0,19.0,1.1,2016-05-27
755,892,1100,735648611367784448,2016-05-26 01:47:51,None,None,None,pupper,None,3938.0,en,1073.0,https://pbs.twimg.com/media/CjWMezdW0AErwU3.jpg,1.0,Pembroke,0.462594,True,seat_belt,0.261854,False,Cardigan,0.151698,True,12/10,8877197.0,13020.0,19.0,1.2,2016-05-26
756,893,1101,735635087207878657,2016-05-26 00:54:06,Dakota,None,None,None,None,6002.0,en,2275.0,https://pbs.twimg.com/media/CjWANBlVAAAaN-a.jpg,1.0,pug,0.8918709999999999,True,goose,0.0143766,False,fur_coat,0.00845143,False,11/10,8877197.0,13020.0,19.0,1.1,2016-05-26
757,894,1102,735274964362878976,2016-05-25 01:03:06,None,None,None,None,None,12684.0,en,4869.0,https://pbs.twimg.com/media/CjQ4radW0AENP-m.jpg,1.0,studio_couch,0.944692,False,four-poster,0.00794163,False,quilt,0.00630206,False,11/10,8877197.0,13020.0,19.0,1.1,2016-05-25
758,898,1106,734787690684657664,2016-05-23 16:46:51,None,None,None,None,None,12202.0,en,6106.0,https://pbs.twimg.com/media/CjJ9gQ1WgAAXQtJ.jpg,4.0,golden_retriever,0.883991,True,chow,0.0235416,True,Labrador_retriever,0.0160559,True,13/10,8877197.0,13020.0,19.0,1.3,2016-05-23
759,899,1107,734776360183431168,2016-05-23 16:01:50,Livvie,None,None,None,None,2437.0,en,519.0,https://pbs.twimg.com/media/CjJzMlBUoAADMLx.jpg,1.0,Siberian_husky,0.304902,True,Eskimo_dog,0.155147,True,malamute,0.050942400000000006,True,11/10,8877197.0,13020.0,19.0,1.1,2016-05-23
760,903,1112,733460102733135873,2016-05-20 00:51:30,Hermione,None,None,None,None,4064.0,en,1235.0,https://pbs.twimg.com/media/Ci3GDeyUoAAKOxn.jpg,1.0,chow,0.931275,True,beaver,0.0288311,False,dhole,0.017379,False,11/10,8877197.0,13020.0,19.0,1.1,2016-05-20
761,904,1113,733109485275860992,2016-05-19 01:38:16,None,doggo,None,pupper,None,51889.0,en,16560.0,https://pbs.twimg.com/media/CiyHLocU4AI2pJu.jpg,1.0,golden_retriever,0.945523,True,Labrador_retriever,0.0423191,True,doormat,0.00395626,False,12/10,8877197.0,13020.0,19.0,1.2,2016-05-19
762,905,1114,732732193018155009,2016-05-18 00:39:02,Ralpher,None,None,None,None,2366.0,en,518.0,https://pbs.twimg.com/media/CiswCQhWYAI5-QW.jpg,1.0,koala,0.162935,False,Staffordshire_bullterrier,0.127969,True,mongoose,0.096421,False,12/10,8877197.0,13020.0,19.0,1.2,2016-05-18
763,906,1115,732726085725589504,2016-05-18 00:14:46,Aldrick,None,None,None,None,3460.0,en,864.0,https://pbs.twimg.com/media/CisqdVcXEAE3iW7.jpg,1.0,Pomeranian,0.961902,True,Samoyed,0.0242893,True,chow,0.00577178,True,11/10,8877197.0,13020.0,19.0,1.1,2016-05-18
